Litter ID,Species,Organ,Location,Origin,Initial mass (g),Date of burial,Date of recovery,Litterbag mass,Contents mass,Empty bag mass,Contents mass (2),Mass Loss 1,Mass Loss 2,Average
H15EA(l)1,Eriophorum angustifolium,Leaf,Herschel island,H,0.516,21/07/16,,,,,0,1,1,1
H15EA(l)2,Eriophorum angustifolium,Leaf,Herschel island,H,0.471,21/07/16,,,,,0,1,1,1
H15EA(l)3,Eriophorum angustifolium,Leaf,Herschel island,H,0.505,21/07/16,,,,,0,1,1,1
H15EA(l)4,Eriophorum angustifolium,Leaf,Herschel island,H,0.477,21/07/16,,,,,0,1,1,1
H15EA(l)5,Eriophorum angustifolium,Leaf,Herschel island,H,0.466,21/07/16,,,,,0,1,1,1
H15EA(l)6,Eriophorum angustifolium,Leaf,Herschel island,H,0.486,21/07/16,,,,,0,1,1,1
H15EA(l)7,Eriophorum angustifolium,Leaf,Herschel island,H,0.514,21/07/16,,,,,0,1,1,1
H15EA(l)8,Eriophorum angustifolium,Leaf,Herschel island,H,0.537,21/07/16,,,,,0,1,1,1
H15EA(l)9,Eriophorum angustifolium,Leaf,Herschel island,H,0.499,21/07/16,,,,,0,1,1,1
H15EA(l)10,Eriophorum angustifolium,Leaf,Herschel island,H,0.499,21/07/16,,,,,0,1,1,1
H15EA(l)11,Eriophorum angustifolium,Leaf,Herschel island,H,0.493,21/07/16,12/07/16,3.968,0.275,3.652,0.316,0.44,0.36,0.4
H15EA(l)12,Eriophorum angustifolium,Leaf,Herschel island,H,0.508,21/07/16,12/07/16,3.828,0.358,3.424,0.404,0.3,0.2,0.25
H15EA(l)13,Eriophorum angustifolium,Leaf,Herschel island,H,0.532,21/07/16,12/07/16,3.601,0.38,3.196,0.405,0.29,0.24,0.26
H15EA(l)14,Eriophorum angustifolium,Leaf,Herschel island,H,0.518,21/07/16,12/07/16,5.092,0.342,4.733,0.359,0.34,0.31,0.32
H15EA(l)15,Eriophorum angustifolium,Leaf,Herschel island,H,0.496,21/07/16,12/07/16,4.288,0.324,3.963,0.325,0.35,0.34,0.35
H15EA(l)16,Eriophorum angustifolium,Leaf,Herschel island,H,0.473,21/07/16,12/07/16,4.567,0.361,4.179,0.388,0.24,0.18,0.21
H15EA(l)17,Eriophorum angustifolium,Leaf,Herschel island,H,0.482,21/07/16,12/07/16,4.207,0.335,3.825,0.382,0.3,0.21,0.26
H15EA(l)18,Eriophorum angustifolium,Leaf,Herschel island,H,0.538,21/07/16,12/07/16,4.356,0.325,3.981,0.375,0.4,0.3,0.35
H15EA(l)19,Eriophorum angustifolium,Leaf,Herschel island,H,0.527,21/07/16,12/07/16,4.829,0.341,4.451,0.378,0.35,0.28,0.32
H15EA(l)20,Eriophorum angustifolium,Leaf,Herschel island,H,0.482,21/07/16,12/07/16,4.15,0.296,3.829,0.321,0.39,0.33,0.36
H15SA(l)1,Salix arctica,Leaf,Herschel island,H,0.541,21/07/16,,,,,0,1,1,1
H15SA(l)2,Salix arctica,Leaf,Herschel island,H,0.491,21/07/16,,,,,0,1,1,1
H15SA(l)3,Salix arctica,Leaf,Herschel island,H,0.509,21/07/16,,,,,0,1,1,1
H15SA(l)4,Salix arctica,Leaf,Herschel island,H,0.495,21/07/16,,,,,0,1,1,1
H15SA(l)5,Salix arctica,Leaf,Herschel island,H,0.47,21/07/16,,,,,0,1,1,1
H15SA(l)6,Salix arctica,Leaf,Herschel island,H,0.513,21/07/16,,,,,0,1,1,1
H15SA(l)7,Salix arctica,Leaf,Herschel island,H,0.487,21/07/16,,,,,0,1,1,1
H15SA(l)8,Salix arctica,Leaf,Herschel island,H,0.522,21/07/16,,,,,0,1,1,1
